tier,cgpa,leetcode_problems_solved,github_commits_last_year,hackathon_wins,past_internships,projects,communication_score,sector_demand_index,salary_lpa
3,9.85,28,455,1,1,4,62.9,1.15,18.82
3,9.32,90,190,1,2,3,42.0,0.9,13.67
2,8.76,33,280,0,1,8,72.0,1.03,18.34
2,8.87,293,409,1,0,2,92.6,1.2,21.5
3,7.1,8,526,0,0,6,89.5,1.07,9.56
2,7.73,354,605,0,1,1,88.9,0.81,15.1
1,8.32,167,89,1,1,3,78.7,1.03,29.76
3,7.88,14,21,0,1,2,73.5,0.95,8.5
2,8.1,2,1172,0,0,2,52.9,1.0,10.93
3,7.33,178,189,0,2,6,64.1,1.15,13.52
3,5.0,90,375,0,0,4,66.5,1.08,6.83
3,8.31,98,60,0,1,3,69.6,0.99,11.86
2,7.63,337,149,1,1,4,66.2,0.83,20.03
1,7.65,100,182,0,0,0,72.7,1.18,21.99
3,10.0,144,490,0,1,4,88.6,0.91,13.55
2,7.93,615,506,0,4,2,70.9,1.02,26.57
3,6.53,91,482,0,2,0,64.7,1.02,11.21
3,8.33,1,567,1,2,3,70.5,1.07,17.46
3,7.6,441,66,0,0,3,77.2,1.12,14.15
2,8.84,99,294,0,1,4,59.5,1.11,17.02
2,6.78,489,1797,0,3,5,46.0,0.9,25.1
3,6.52,229,94,1,0,2,97.9,0.95,14.63
2,6.85,20,106,0,0,5,93.3,1.1,14.01
2,5.43,23,408,0,0,5,58.9,0.98,8.58
3,6.97,52,474,0,0,8,42.2,1.05,8.47
3,9.41,11,203,0,2,2,81.8,0.93,12.23
3,6.63,75,182,0,2,5,78.4,1.14,14.06
3,5.87,25,566,0,2,5,48.9,1.13,12.18
1,6.87,20,180,0,0,5,53.6,1.09,19.17
3,7.76,58,542,0,0,1,89.6,0.97,10.66
3,6.6,25,209,0,1,1,62.5,0.86,5.43
2,7.59,300,340,0,2,2,61.5,1.08,17.15
3,7.8,177,33,0,0,1,78.6,1.03,10.38
3,7.5,86,247,0,1,2,94.9,1.01,11.71
3,7.39,26,232,0,1,4,87.0,1.01,11.15
3,9.62,34,917,1,0,2,72.1,1.03,11.84
3,7.71,31,747,0,0,3,66.8,1.13,9.94
2,6.55,214,163,0,1,2,68.6,1.03,13.92
2,8.41,391,118,1,2,5,80.6,1.0,24.38
3,7.43,109,16,1,1,2,66.7,1.05,13.28
3,7.59,120,76,0,2,4,80.7,1.07,17.32
3,8.72,24,469,0,0,4,90.7,0.86,7.62
3,9.11,35,1267,0,1,4,71.1,1.14,16.1
3,6.13,3,710,0,0,4,53.9,1.01,3.04
3,9.58,1,228,0,1,2,92.6,1.15,14.39
3,7.42,410,54,0,0,6,100.0,0.98,16.36
3,7.43,232,256,1,1,1,42.9,1.05,14.43
3,6.29,50,186,2,1,1,82.3,1.07,15.34
3,8.4,74,142,0,2,2,61.8,0.95,12.41
3,5.79,40,334,0,2,1,69.7,1.01,12.59
2,8.15,221,415,1,1,2,66.8,0.92,20.15
2,9.48,509,629,1,0,1,67.1,0.99,21.76
1,7.12,6,73,0,0,2,90.5,0.85,15.15
3,8.8,95,1199,2,2,3,74.1,1.1,24.04
1,7.6,104,201,3,1,3,69.6,1.19,34.55
2,5.83,19,259,2,1,3,76.6,0.98,14.51
3,7.64,17,1108,3,0,2,68.0,0.7,11.66
2,7.28,23,155,0,0,5,73.1,1.01,11.0
3,8.58,10,57,0,3,2,70.0,0.77,8.93
1,7.06,300,39,0,1,2,88.9,0.98,23.92
1,8.1,642,115,0,0,7,57.5,0.96,27.9
3,6.23,127,32,0,4,2,49.3,1.02,10.41
2,8.02,1,530,0,1,3,52.2,0.91,9.21
2,7.53,132,188,1,1,3,44.1,0.83,12.58
3,7.35,23,341,1,1,3,74.1,0.92,13.34
3,7.54,173,120,0,0,3,85.0,0.91,10.77
2,7.15,176,147,0,0,1,69.5,0.91,11.02
3,7.67,144,137,0,0,3,59.4,1.07,7.13
1,7.26,230,705,1,2,3,94.0,1.12,30.69
1,6.33,22,113,1,0,6,74.3,1.16,24.97
3,5.94,372,24,1,1,1,56.6,0.87,11.46
3,6.91,32,29,1,1,3,61.6,1.01,12.89
3,7.12,9,112,0,3,6,84.4,1.06,16.03
3,5.0,208,41,0,0,1,66.8,1.14,7.21
3,7.52,67,384,0,0,5,54.0,1.05,9.01
3,10.0,21,74,0,0,3,67.4,0.86,8.23
2,8.33,58,511,0,2,3,50.8,1.11,17.61
3,7.29,150,1076,0,3,1,49.2,1.11,16.32
2,6.52,86,1275,0,1,5,67.5,0.98,12.71
2,5.46,243,1055,0,3,5,100.0,1.09,24.87
1,8.57,147,56,0,2,2,77.7,1.05,24.44
1,8.01,47,445,0,3,4,60.0,1.08,26.27
3,6.02,40,219,0,1,3,82.5,0.91,8.48
3,8.66,55,294,0,0,2,62.7,1.15,10.9
3,8.51,103,259,0,2,2,74.8,0.9,8.86
2,6.69,133,609,0,2,3,78.2,1.12,18.37
2,7.15,53,34,1,1,2,79.7,0.86,12.79
2,7.8,133,16,0,2,3,83.5,1.1,18.38
2,8.16,36,211,0,0,6,60.6,0.88,13.28
3,6.19,1026,139,0,1,3,93.2,0.93,24.09
3,8.18,318,827,1,1,4,81.4,0.94,19.19
3,7.57,237,53,3,1,4,61.0,0.98,21.83
2,8.83,105,146,2,2,2,77.5,0.78,15.14
3,8.42,30,322,1,2,4,75.8,0.79,13.83
3,7.57,93,37,0,1,5,73.9,0.88,9.71
3,8.6,61,109,1,1,2,27.6,0.97,11.94
3,5.69,183,527,0,0,0,74.5,0.97,8.65
2,7.05,3,17,1,2,5,91.1,1.11,19.7
2,6.33,119,600,1,0,2,96.1,0.93,15.48
2,6.83,330,151,1,2,2,88.4,1.01,21.43
3,6.82,103,70,0,2,3,84.5,0.86,11.85
1,5.98,72,632,1,1,4,70.7,0.78,16.37
2,8.64,466,230,1,3,2,83.6,1.02,25.48
1,8.4,55,103,0,0,2,65.9,0.93,16.07
1,6.77,112,35,1,1,2,73.8,0.93,21.26
3,5.0,46,85,0,1,2,73.1,0.9,3.95
3,6.89,41,51,1,0,5,62.5,0.94,11.98
2,7.44,122,774,0,2,6,55.1,0.93,19.08
1,9.13,21,82,1,2,1,70.7,0.95,24.29
2,6.82,64,888,1,2,1,57.6,0.97,17.62
2,8.67,48,213,1,0,1,68.3,0.88,11.96
2,6.89,105,926,0,0,5,37.8,0.83,9.3
2,8.18,150,81,0,1,4,74.4,1.12,18.59
2,8.47,131,281,1,0,4,57.0,1.0,14.53
3,8.19,24,1033,0,2,4,61.7,0.94,14.05
3,6.35,0,1253,1,2,4,73.6,0.96,13.2
1,7.06,146,108,1,0,2,71.6,1.07,27.46
2,8.2,103,124,2,1,3,94.7,1.05,20.3
3,5.6,333,430,2,1,6,59.4,0.76,14.82
3,8.45,97,377,0,1,4,49.9,0.97,12.49
3,6.04,172,124,0,1,4,69.7,1.07,9.88
3,5.88,208,24,0,2,2,83.2,1.01,12.17
2,6.86,61,139,1,2,5,70.9,1.1,18.55
1,6.68,129,229,0,1,1,78.5,1.17,21.74
3,7.72,243,33,1,1,2,74.0,0.98,15.86
1,7.82,483,544,0,1,5,39.2,1.0,27.32
3,7.58,77,165,1,0,4,81.1,0.9,9.98
3,6.32,27,393,0,0,4,71.4,0.95,9.33
3,8.95,27,7,0,2,6,89.8,0.96,13.48
2,7.58,15,26,0,0,5,85.6,0.98,12.88
3,8.62,191,505,1,1,1,36.5,1.1,12.09
2,5.0,32,152,0,1,3,63.7,0.97,8.33
3,8.14,251,102,1,2,4,70.3,1.03,18.55
3,6.81,100,230,3,1,4,47.7,0.96,14.59
2,8.41,156,278,1,0,6,93.0,0.98,18.44
3,9.64,26,129,1,1,2,55.6,0.98,12.28
3,6.1,516,579,1,2,3,63.9,0.92,21.55
2,8.53,9,6,0,0,1,71.3,0.96,10.08
1,6.78,396,84,0,1,1,76.1,0.97,23.59
2,5.25,254,434,1,0,1,66.8,1.02,14.49
1,8.61,7,361,0,2,4,43.4,1.0,20.64
1,9.68,80,377,1,1,3,56.7,0.86,19.41
3,10.0,20,391,0,0,1,98.1,0.98,7.4
1,7.86,406,88,0,4,1,54.0,0.83,28.31
2,5.77,148,184,0,2,3,64.9,0.99,15.61
3,7.25,97,74,0,1,6,69.0,1.0,13.53
1,7.37,65,10,2,2,2,59.6,1.09,27.65
3,8.82,109,158,0,1,1,71.5,0.87,9.3
2,7.47,82,404,0,0,6,34.1,1.07,12.13
2,5.01,255,63,0,0,4,63.9,1.06,10.72
3,8.26,47,9,0,2,2,74.9,0.85,9.66
3,7.59,13,24,1,0,3,60.3,0.91,6.67
3,8.58,64,142,0,3,3,63.9,0.94,13.68
3,7.8,257,89,0,1,1,79.3,0.83,11.23
3,8.33,66,206,0,1,5,52.6,1.07,12.63
2,7.52,245,1142,0,2,1,95.9,0.92,18.85
2,7.84,173,52,1,3,4,48.7,0.98,20.24
3,6.39,132,28,2,0,6,71.2,1.04,16.78
3,7.93,30,29,0,0,2,48.6,1.02,6.86
3,7.28,115,392,0,1,6,76.0,1.14,14.75
2,8.09,196,85,1,2,0,62.2,0.9,14.65
2,6.08,1,933,0,3,4,83.9,0.98,16.54
3,9.18,339,23,0,0,1,63.2,1.02,10.21
2,7.8,234,8,0,2,7,90.7,1.05,20.53
3,8.45,209,239,3,0,1,62.5,1.09,18.23
3,7.51,74,674,1,4,6,89.6,0.92,18.3
2,8.22,382,35,0,1,3,54.6,1.03,15.95
3,5.0,23,136,0,4,3,52.2,0.97,9.58
3,7.37,181,159,0,4,4,50.5,1.0,16.33
2,6.55,120,126,0,0,3,64.6,1.09,11.14
3,7.07,252,18,1,2,4,32.4,0.97,15.42
3,8.71,1,1246,2,4,2,73.9,1.16,25.78
3,5.58,23,746,0,1,6,54.2,0.96,8.87
2,8.39,166,846,0,2,5,82.9,0.93,19.69
3,8.05,75,122,0,1,1,70.6,1.08,10.0
2,9.04,25,97,0,0,3,90.1,1.29,14.58
1,5.01,349,155,1,4,2,73.6,1.04,31.05
3,8.21,105,42,1,3,5,52.1,0.91,16.03
1,7.8,159,181,1,1,2,50.5,1.2,30.39
2,7.44,129,302,2,2,2,59.2,0.99,18.81
3,9.23,41,21,0,0,6,100.0,1.07,10.41
3,5.0,82,15,0,0,3,77.6,0.87,5.97
3,7.65,78,248,0,2,3,84.3,1.06,11.84
3,8.73,131,474,1,0,3,75.7,1.18,14.87
2,5.55,319,270,0,2,1,51.5,1.01,17.71
2,8.21,160,132,1,1,4,68.9,1.14,19.97
2,7.89,93,821,0,1,6,75.4,1.06,18.63
3,5.0,262,266,0,0,3,34.9,1.05,8.65
3,8.82,1,256,0,0,2,53.7,0.94,8.68
3,6.43,223,41,0,4,4,85.9,0.93,16.72
3,9.39,492,128,0,1,5,86.3,0.86,17.39
1,8.19,113,290,0,4,5,75.1,1.09,29.32
2,7.86,3,275,1,3,4,78.7,0.87,19.23
1,8.72,101,69,0,2,1,48.2,0.9,20.79
3,8.57,186,160,0,2,5,82.2,0.92,13.92
2,5.15,323,388,0,1,4,92.9,1.13,21.19
3,5.45,316,180,0,0,1,87.4,1.03,8.78
2,7.33,566,144,0,1,5,71.8,1.03,19.71
2,6.21,16,90,0,1,2,69.6,0.89,8.52
2,9.49,20,65,0,2,5,86.5,0.96,17.72
3,6.31,2,76,0,0,2,60.1,0.99,4.31
3,7.61,45,54,4,3,1,68.1,0.78,20.38
2,8.2,537,784,1,0,3,75.5,1.11,24.81
1,10.0,294,385,0,1,4,87.9,1.12,29.96
3,8.88,75,147,0,0,1,80.8,0.91,8.76
1,6.71,328,195,0,0,1,29.1,0.96,18.62
3,8.13,2,347,0,0,2,68.0,0.92,5.98
3,8.34,124,253,0,4,4,58.6,1.03,17.58
1,8.25,38,1121,3,2,7,77.3,1.05,35.73
1,6.32,142,367,0,1,2,49.3,0.91,15.55
3,9.94,367,676,0,3,5,77.9,1.01,22.86
2,6.03,55,0,1,4,3,66.6,0.99,17.56
2,8.32,219,379,1,1,1,18.2,0.94,13.22
3,6.44,86,328,0,1,1,91.1,0.96,6.53
3,7.97,163,707,0,1,2,67.0,0.93,12.13
3,7.26,136,503,1,1,3,52.3,0.91,11.13
3,5.94,339,153,0,1,6,67.7,1.18,15.25
2,5.0,128,643,0,2,2,62.2,0.97,13.3
1,8.56,318,268,1,1,3,55.0,1.09,28.91
3,6.83,89,256,1,0,7,51.8,1.02,13.04
3,7.67,41,456,0,1,2,37.6,0.99,9.83
2,9.66,205,327,0,0,0,72.8,1.04,16.36
3,8.25,66,312,0,1,1,65.3,0.84,5.6
2,5.0,186,15,2,1,1,100.0,0.86,17.32
2,6.03,36,149,0,1,2,67.5,1.05,11.37
1,5.29,16,0,1,1,3,82.3,1.05,20.63
2,6.5,74,324,0,2,6,60.8,1.03,15.36
1,7.17,142,117,0,2,1,78.3,0.93,22.44
2,10.0,281,648,2,1,7,57.7,0.76,21.47
2,8.71,26,878,0,0,3,36.8,1.01,10.17
3,7.93,89,749,1,3,2,79.3,0.87,18.05
3,8.03,150,150,0,2,3,68.9,0.89,12.65
3,8.07,84,79,0,3,3,53.3,1.13,14.96
3,5.4,66,41,0,1,4,44.6,0.88,5.57
2,5.81,140,76,0,2,2,81.2,0.91,11.29
2,8.05,8,127,1,0,3,100.0,0.84,13.61
3,7.51,226,852,0,3,1,68.0,1.07,17.64
2,7.86,33,36,1,2,3,38.6,1.05,17.37
3,9.43,204,573,0,1,1,79.6,1.02,13.06
1,6.67,295,72,0,4,5,60.5,0.91,24.1
3,7.06,152,267,0,1,4,54.1,0.93,10.05
1,7.8,75,171,1,2,2,72.9,1.02,24.86
3,5.46,21,53,0,1,3,90.4,1.08,10.39
3,5.73,421,17,2,0,3,58.6,1.15,18.63
3,9.14,10,115,0,2,1,78.8,1.01,11.34
1,7.15,419,0,0,0,0,68.4,0.99,22.36
3,6.91,123,260,2,2,2,97.1,0.71,10.07
3,7.79,69,1388,0,0,3,85.8,0.95,10.3
3,5.5,52,473,2,1,3,62.1,1.16,15.34
3,7.13,57,602,1,1,2,72.6,1.07,13.24
3,6.81,159,259,1,1,3,67.5,1.06,16.18
2,7.94,68,166,0,2,7,63.8,0.99,15.42
3,5.0,101,568,0,1,2,92.1,1.01,12.78
3,6.54,51,112,0,0,6,71.3,1.04,8.61
3,6.95,262,90,0,1,2,68.0,1.02,13.5
1,6.92,56,75,1,0,5,93.7,1.06,23.19
2,8.76,465,404,0,1,0,100.0,0.95,19.12
3,6.56,32,183,2,1,1,77.9,0.94,12.37
3,10.0,405,122,0,2,2,81.6,0.99,17.72
2,8.4,190,56,3,0,3,88.6,1.0,19.32
3,6.92,735,319,0,0,2,72.1,1.25,21.73
2,8.23,104,237,0,1,3,62.0,1.0,11.39
2,8.37,55,155,0,1,4,78.7,1.06,14.55
