cgpa,internships,tier,sector_demand_index,coding_score,communication_score,starting_salary_lpa
7.61,0,3,1.11,78.3,59.0,6.63
5.11,1,2,0.79,74.6,48.3,7.73
7.24,3,3,1.44,73.1,51.2,6.93
7.93,2,2,0.84,72.0,66.0,8.56
9.27,1,3,0.92,83.2,60.8,8.54
6.88,2,3,0.69,67.8,65.6,3.5
6.53,1,3,1.07,84.2,61.3,6.6
6.9,2,1,0.94,74.7,90.8,14.22
8.6,2,2,0.69,71.6,77.8,8.86
7.89,0,3,0.99,65.4,52.1,5.34
6.86,2,1,1.02,65.5,35.8,12.66
8.12,1,2,0.95,74.8,59.6,10.66
7.62,1,3,0.64,85.2,47.9,7.38
8.66,2,2,1.06,77.6,39.1,8.35
6.66,1,3,0.75,59.3,74.6,4.92
7.11,1,1,1.18,46.0,64.8,11.63
7.03,0,3,0.89,81.1,81.8,6.8
5.74,1,3,1.19,100.0,63.9,9.12
7.86,2,3,1.0,65.9,61.7,4.95
7.81,1,3,1.01,63.0,45.9,5.49
7.51,3,2,1.26,82.3,55.6,11.01
7.22,2,3,0.84,57.1,38.1,3.33
5.8,0,3,0.78,92.4,80.6,4.37
7.0,0,2,1.11,76.2,45.2,4.4
7.09,2,3,0.74,69.6,68.3,7.45
6.54,3,2,0.84,58.4,61.3,8.39
7.31,0,3,0.68,83.2,70.8,4.74
7.98,2,2,1.23,63.3,65.5,12.54
9.76,2,3,0.8,80.6,45.2,5.17
7.71,2,3,0.87,76.0,60.0,8.99
7.81,0,2,0.74,89.4,84.0,6.05
7.41,2,3,0.92,72.4,52.7,5.73
5.2,2,2,0.97,100.0,82.4,7.78
7.47,0,2,1.17,78.3,74.9,7.47
7.57,0,2,0.74,72.2,67.1,7.04
10.0,1,1,0.88,64.2,53.9,14.07
7.27,1,2,1.28,83.2,69.1,9.85
7.86,1,3,1.21,64.5,57.3,7.09
7.46,1,2,0.86,58.4,81.6,8.26
6.1,2,3,0.99,63.0,45.7,5.63
8.87,3,2,1.39,67.1,69.6,13.52
8.4,1,3,0.76,100.0,65.4,6.88
8.45,3,3,0.62,74.4,69.9,9.64
6.41,2,2,0.89,60.1,75.8,12.43
9.18,3,3,0.98,86.3,51.7,11.59
5.82,2,3,0.84,72.8,51.7,8.14
8.2,4,3,1.2,89.4,68.2,11.15
10.0,2,2,1.04,98.7,79.5,14.37
6.31,1,1,0.88,47.6,61.3,11.97
6.82,1,3,0.89,34.4,86.6,4.48
7.62,0,3,0.85,99.9,60.5,6.33
6.9,1,2,1.17,59.7,54.3,6.42
5.64,1,2,0.91,44.5,71.8,6.78
7.58,3,3,0.76,62.1,56.8,6.2
6.23,1,3,1.19,55.5,57.0,4.58
8.07,0,3,0.94,58.4,68.9,3.03
6.4,2,2,0.73,82.8,79.0,8.9
9.36,0,2,1.34,64.6,69.5,10.83
6.56,0,1,1.12,45.7,66.6,12.53
7.11,2,2,1.01,70.5,93.9,12.28
8.48,2,1,0.96,57.2,75.4,14.67
6.02,1,3,0.94,66.3,59.9,4.59
7.77,1,3,0.94,67.1,81.5,6.93
9.07,0,3,0.95,82.7,61.4,6.26
5.57,1,1,0.88,62.4,74.1,11.38
7.72,1,2,0.98,80.5,73.1,10.35
7.81,1,2,0.88,46.1,65.0,6.01
8.44,4,2,1.04,83.5,54.1,11.73
6.02,2,3,1.0,89.5,64.6,3.91
5.92,2,2,0.86,66.5,57.9,7.16
8.13,1,2,0.98,57.7,68.9,8.23
7.86,5,1,1.11,53.8,71.3,18.31
7.8,1,1,0.55,69.6,35.4,12.04
7.92,3,3,1.12,88.2,70.1,7.74
6.68,1,2,0.75,63.6,100.0,11.33
7.78,2,3,0.91,86.7,60.2,10.61
7.85,2,3,0.5,52.7,79.8,6.97
6.64,0,2,1.11,64.7,76.1,9.52
9.74,1,2,0.85,69.3,40.4,8.25
8.07,3,3,0.9,73.2,72.5,9.3
6.07,2,3,1.02,65.0,52.4,6.38
8.29,2,2,0.61,88.7,62.0,9.03
6.33,2,1,1.01,88.9,43.1,15.26
8.44,0,1,1.13,67.4,71.6,14.03
8.89,4,2,1.03,62.2,59.9,11.67
6.52,0,1,0.92,61.0,85.2,12.67
8.66,2,2,1.01,85.5,44.6,7.83
8.0,1,2,0.98,60.0,78.6,8.84
8.49,0,2,1.15,48.1,71.3,8.78
9.78,0,2,1.25,50.3,52.1,8.75
7.21,2,3,0.92,80.0,41.8,3.77
6.6,2,3,1.05,49.5,60.7,5.55
6.43,0,3,0.87,64.0,68.5,5.53
6.52,0,2,1.08,71.5,49.0,7.0
7.41,2,3,1.09,44.8,50.8,6.37
7.91,2,2,0.97,72.7,79.9,8.11
7.83,1,3,1.1,65.1,53.3,3.89
8.49,2,2,1.0,41.4,73.7,9.65
7.52,1,1,0.99,72.9,83.3,14.87
9.24,3,3,0.82,75.9,52.9,10.17
7.18,1,3,1.03,72.8,46.3,5.85
10.0,1,3,0.88,77.6,78.1,6.73
8.25,5,2,1.17,73.9,60.5,10.84
6.47,1,2,0.83,81.0,58.4,5.52
6.21,1,2,1.05,55.8,86.4,9.11
8.08,2,3,0.95,49.0,61.0,5.79
7.23,0,3,1.05,52.6,69.2,5.85
8.36,1,3,0.99,57.8,40.8,5.43
8.07,0,1,0.84,100.0,63.9,15.62
7.41,0,3,1.22,58.0,51.8,5.41
6.48,1,2,0.82,62.2,57.4,7.22
5.68,3,2,1.13,66.5,56.5,8.33
6.96,2,3,0.66,64.6,84.5,6.63
8.53,0,3,0.94,97.2,55.1,8.06
7.76,2,2,1.31,44.1,57.0,6.6
6.01,1,2,0.94,100.0,88.0,11.48
7.71,3,2,1.02,72.2,59.6,10.31
7.96,2,2,1.32,84.4,55.7,9.5
6.44,1,2,0.97,70.3,81.5,8.91
7.68,0,2,1.05,82.2,65.2,10.3
7.57,3,1,1.12,55.8,66.3,17.39
6.13,3,3,0.72,49.7,69.5,6.54
7.93,2,3,0.9,100.0,85.1,10.14
8.17,2,2,1.03,98.7,49.5,10.67
8.8,0,3,0.68,54.2,82.2,4.52
8.76,0,3,1.27,80.7,42.6,6.25
5.85,1,1,1.15,87.4,52.8,13.53
6.37,1,2,1.12,79.9,51.6,6.51
8.12,1,3,1.26,66.9,62.9,5.66
8.12,1,3,1.14,100.0,53.7,5.05
8.12,2,3,0.95,80.3,84.1,6.49
10.0,1,3,0.67,56.1,72.8,9.7
8.19,2,2,0.86,64.2,64.8,11.05
8.86,0,1,0.87,54.0,51.8,12.83
8.64,2,2,1.12,68.4,86.0,11.58
8.28,1,1,1.02,67.9,66.5,13.51
7.12,1,2,0.69,81.3,61.2,9.7
8.41,3,2,1.17,81.1,63.0,11.6
6.57,1,2,1.27,75.8,61.7,7.35
7.22,2,2,1.3,75.4,77.7,9.79
6.92,0,2,0.77,85.6,82.0,8.04
7.6,1,2,1.06,66.6,51.1,9.25
10.0,1,2,0.8,34.1,55.2,7.53
5.26,1,2,1.39,100.0,56.0,6.36
8.32,2,3,1.01,56.3,69.8,6.12
5.56,1,3,0.93,80.4,80.0,4.93
6.93,2,2,0.89,64.9,44.4,5.92
8.81,2,1,1.07,91.0,49.3,15.38
7.58,2,3,1.1,55.6,59.8,2.82
6.21,1,3,0.67,59.3,73.0,3.53
6.64,1,3,1.28,62.5,50.9,5.08
8.32,0,2,1.09,78.3,59.2,9.12
6.62,1,3,1.28,73.3,54.2,6.23
7.76,0,3,1.34,78.5,76.4,8.01
7.55,1,3,0.98,71.9,63.4,7.93
6.72,2,2,1.17,84.0,54.1,7.79
10.0,1,3,0.88,84.2,47.4,5.36
8.26,0,3,0.91,92.7,59.1,6.63
5.07,1,3,1.31,75.2,61.0,5.94
7.72,2,1,0.85,75.1,77.7,14.81
6.71,2,3,1.04,96.5,80.3,8.81
8.52,0,2,0.82,88.0,47.3,11.31
6.55,2,2,0.87,77.8,79.8,7.69
7.36,2,3,0.9,49.1,75.7,6.08
8.11,1,2,1.29,44.7,57.0,8.97
8.54,0,3,1.1,79.2,76.4,6.48
6.06,1,3,1.17,79.8,53.1,6.07
7.1,2,2,0.64,59.2,71.1,9.96
6.93,2,3,1.01,75.3,100.0,7.69
6.72,3,3,0.92,56.3,68.5,5.1
9.62,2,2,1.1,78.6,59.9,10.58
7.99,1,3,1.48,79.0,45.3,4.35
5.99,0,2,0.52,78.9,66.2,6.42
8.6,2,2,1.08,75.0,80.0,11.48
10.0,0,2,1.44,65.6,54.4,8.78
8.74,2,2,0.9,66.8,73.1,11.55
5.68,4,1,1.03,87.4,61.1,17.17
6.92,2,3,1.14,76.2,59.0,5.57
9.02,0,3,0.57,77.3,72.3,4.84
6.65,2,3,1.05,71.3,36.6,6.42
8.03,1,2,0.84,79.8,62.1,9.53
8.43,1,3,1.41,84.4,79.8,7.96
6.39,2,2,0.96,60.6,62.2,8.75
7.43,3,2,0.86,78.9,65.1,9.47
5.0,0,2,1.17,66.6,63.0,2.71
6.27,4,2,1.1,74.7,93.7,13.36
7.2,1,2,1.18,82.5,70.8,10.38
6.0,0,3,1.38,48.2,45.9,2.58
9.46,0,3,0.88,53.7,52.0,3.63
5.78,2,2,1.34,60.1,66.4,7.97
6.97,0,1,1.38,59.0,83.9,11.52
7.66,4,2,0.85,67.6,74.9,11.34
9.23,1,3,0.87,95.4,79.9,5.71
5.78,0,3,1.01,87.7,48.1,4.86
8.9,3,3,0.96,61.3,74.5,7.2
7.51,1,3,1.34,83.0,53.9,6.18
6.32,1,2,0.83,69.4,63.2,6.11
8.05,1,3,1.05,75.2,77.8,9.4
7.74,1,2,0.85,55.3,56.5,8.17
6.78,2,2,1.02,50.2,43.4,6.22
7.58,0,3,1.43,81.0,59.5,5.56
7.04,2,2,1.36,70.5,66.8,11.88
7.64,4,3,1.08,77.8,75.2,7.96
8.29,0,2,1.13,93.9,51.7,7.24
9.4,2,3,1.09,66.4,56.7,5.65
6.01,1,2,0.94,66.6,68.2,6.73
10.0,2,1,1.38,96.5,73.2,20.82
5.16,1,3,1.26,70.3,68.0,4.37
7.32,2,3,1.05,58.0,62.8,5.51
8.21,2,3,0.96,81.0,53.9,7.69
7.84,0,3,0.97,66.4,78.3,5.68
6.75,3,3,1.07,57.7,83.2,8.89
7.25,0,3,0.99,71.3,56.2,6.15
6.91,3,2,1.23,82.4,57.9,10.81
6.79,2,2,1.1,52.6,75.3,8.28
8.52,1,2,0.81,52.3,67.5,9.62
7.93,5,3,0.77,68.8,73.7,8.38
6.67,0,2,1.2,53.5,69.1,5.55
8.58,1,3,0.77,50.9,70.7,5.09
7.87,1,3,0.93,70.1,58.9,7.78
8.48,0,3,0.91,86.6,35.0,4.32
8.26,1,2,0.75,81.8,67.9,8.6
6.51,1,2,1.06,68.4,75.3,8.7
6.83,1,3,0.98,89.2,69.3,6.77
8.4,2,2,0.87,96.0,53.8,10.15
8.23,2,2,1.42,77.4,56.3,10.61
7.47,1,2,0.51,64.5,100.0,7.98
7.64,1,2,0.83,93.4,70.3,11.48
9.03,2,2,0.88,92.8,29.8,10.47
6.79,0,3,0.73,73.8,56.4,6.28
8.16,0,2,1.45,88.3,61.7,7.92
7.26,2,3,1.45,58.3,46.4,5.23
7.24,1,2,0.86,39.0,63.1,3.93
8.82,1,3,1.25,55.4,57.6,7.83
8.49,1,3,1.12,73.1,67.9,10.36
8.48,0,1,1.33,68.9,60.7,13.76
9.07,0,2,0.98,84.4,54.5,9.47
7.53,2,1,1.09,47.7,59.9,14.31
8.32,0,3,1.28,48.0,77.7,3.4
7.13,0,3,1.25,81.4,66.0,7.72
7.89,1,3,1.03,48.5,61.8,4.69
7.34,3,2,0.81,65.9,70.3,6.89
7.62,0,2,0.85,70.4,65.0,6.71
8.21,3,2,0.63,60.2,48.4,7.39
6.52,3,2,1.16,78.7,75.3,10.83
10.0,2,3,1.04,39.1,55.6,6.44
6.29,1,1,1.06,97.5,59.9,16.98
6.04,1,3,0.99,65.0,42.3,7.04
8.89,2,3,0.77,67.4,77.3,10.54
8.45,1,3,1.06,100.0,66.9,6.63
8.25,3,2,1.12,49.6,69.3,10.71
8.25,1,3,0.83,54.3,77.2,7.15
7.49,1,3,0.99,91.1,77.3,6.79
6.42,1,3,0.87,46.7,54.4,4.41
7.59,3,3,0.96,77.4,65.2,8.69
6.69,2,3,0.77,60.9,63.7,5.14
8.67,0,3,0.95,45.8,62.3,6.46
7.32,3,2,1.33,77.9,52.9,10.45
6.51,2,3,0.9,78.3,86.4,7.19
7.11,2,3,0.86,70.0,80.2,5.26
8.0,3,3,0.88,100.0,71.7,11.31
6.82,2,3,0.96,58.4,85.4,6.77
6.51,1,2,1.36,83.0,72.1,9.41
7.79,3,3,1.28,74.9,60.5,6.75
7.79,3,3,0.97,84.6,58.7,9.67
6.89,1,2,0.87,62.4,70.8,6.32
6.93,3,2,0.65,49.2,44.3,4.88
7.78,2,3,0.82,59.8,78.0,5.74
5.76,2,2,0.61,69.0,40.6,8.25
5.81,2,1,1.15,80.2,81.5,16.33
6.64,2,2,1.27,70.3,72.5,9.67
7.24,4,3,0.92,73.2,94.3,9.2
7.87,1,1,1.08,95.9,67.7,16.45
9.27,1,2,0.78,69.6,74.8,13.91
8.53,1,3,0.61,62.0,75.5,6.6
7.31,2,3,1.01,76.6,51.7,6.01
7.48,0,3,1.08,44.3,49.0,3.26
6.3,1,2,1.34,44.2,51.0,5.9
7.48,0,3,1.41,68.0,64.5,5.48
7.15,4,1,0.94,56.0,64.9,14.72
7.89,2,3,1.18,60.9,65.5,7.95
6.51,4,3,1.06,84.0,72.4,9.46
8.12,2,2,1.0,77.9,53.9,8.51
9.34,1,3,0.99,68.8,77.6,8.93
7.37,1,2,0.97,71.2,71.5,5.94
7.98,3,3,0.98,63.6,88.7,11.67
8.33,3,2,1.33,82.7,71.5,14.56
7.02,1,3,1.04,81.9,64.0,9.02
7.77,0,2,1.35,84.9,97.2,9.67
7.52,2,2,0.82,84.2,63.7,10.33
7.62,3,3,0.5,70.8,69.3,6.66
6.57,2,3,0.91,59.5,71.5,6.71
7.53,0,3,0.83,67.5,79.0,5.54
8.1,0,2,0.7,71.7,66.3,7.36
9.24,2,2,1.26,59.9,100.0,10.78
8.65,0,3,0.73,94.4,56.4,6.84
10.0,1,2,1.12,94.5,87.3,16.43
6.58,1,2,1.4,68.2,43.1,9.11
8.55,0,3,0.77,85.5,50.2,6.18
7.72,1,2,0.95,78.4,41.7,8.02
10.0,1,2,1.27,62.6,51.1,9.91
6.53,2,2,0.92,76.2,40.5,7.44
6.49,2,3,1.07,58.4,66.6,5.56
6.78,0,3,1.13,56.8,51.6,2.5
5.0,3,2,1.03,77.2,87.7,10.3
6.87,0,3,0.91,77.3,72.5,5.71
6.59,1,2,0.84,100.0,66.0,8.76
7.68,2,3,0.78,67.7,69.0,7.53
7.91,3,3,1.12,62.1,74.7,8.14
9.75,0,3,0.87,83.8,82.9,6.8
8.64,1,1,1.24,69.6,57.5,16.17
6.81,1,3,1.32,60.3,54.8,4.68
6.42,1,3,0.77,61.2,71.2,3.59
8.09,1,3,1.15,67.3,88.5,4.66
5.92,1,3,1.41,85.8,44.6,7.43
9.7,1,3,0.83,76.5,71.0,7.79
8.92,3,1,1.24,57.5,84.4,17.39
6.94,0,3,1.11,97.5,74.2,6.75
5.44,2,3,1.19,56.4,70.0,7.33
9.12,1,3,0.85,58.9,73.1,6.73
7.36,1,2,1.38,87.5,92.1,13.27
8.99,3,2,0.87,92.5,76.9,12.57
5.59,2,2,1.13,75.3,41.7,3.81
6.78,0,2,0.99,50.6,63.7,8.31
7.51,0,2,1.11,71.5,66.3,8.45
7.56,0,3,0.8,49.5,80.4,3.87
6.96,1,1,0.75,100.0,66.2,15.34
8.25,1,2,1.06,74.3,65.2,8.76
6.22,3,2,0.93,82.0,65.6,8.27
7.33,1,2,0.92,64.4,68.6,9.62
7.64,1,3,1.11,97.1,63.6,6.85
8.12,2,2,0.7,62.5,58.7,7.7
8.35,2,2,1.24,57.1,62.8,15.65
6.15,1,3,1.02,74.6,69.6,4.1
5.66,3,3,1.15,83.2,74.3,7.77
9.03,0,1,1.11,100.0,100.0,14.06
7.9,2,3,1.12,94.2,45.1,9.44
6.6,3,3,0.76,87.9,73.8,7.83
9.36,3,3,1.23,59.7,87.1,10.44
7.64,2,2,1.05,59.4,53.4,7.1
8.92,2,3,0.91,56.8,75.3,4.8
7.58,3,1,0.97,67.7,59.5,14.79
9.97,1,2,1.07,41.3,57.3,10.15
9.61,0,2,1.04,90.5,54.0,10.34
7.2,1,2,1.12,54.6,63.6,5.26
8.67,1,3,1.33,52.8,63.1,2.5
8.27,1,3,0.79,63.9,76.3,5.9
9.14,3,1,1.15,49.9,43.3,16.83
6.34,0,2,0.98,79.7,77.8,6.99
8.32,2,2,1.23,55.5,77.4,11.36
8.77,1,3,1.33,77.5,69.6,7.69
5.39,2,3,1.04,83.9,99.3,10.46
6.08,0,3,1.12,61.8,83.5,3.97
5.05,0,3,1.24,59.2,57.5,3.23
7.18,2,3,1.2,58.0,47.2,4.48
8.36,0,3,1.25,53.8,54.7,6.06
9.3,2,2,0.94,63.7,56.3,10.54
7.59,1,3,0.9,71.0,37.6,2.7
9.45,2,3,0.77,49.3,72.4,7.95
5.84,2,3,0.96,60.4,45.3,2.64
5.46,1,3,0.98,72.4,68.5,3.93
7.43,2,3,0.97,70.5,79.1,8.48
7.96,0,3,1.1,30.0,86.0,2.52
7.46,0,3,1.1,79.5,61.2,5.09
5.02,1,2,0.99,88.6,54.3,9.03
7.39,2,2,1.07,61.4,85.0,10.34
5.93,1,3,1.17,44.0,87.6,5.58
8.3,0,2,0.84,58.5,75.2,9.03
7.94,1,3,1.19,58.1,54.6,7.33
6.37,1,3,0.88,88.0,45.2,3.87
6.88,1,3,1.29,53.6,81.7,6.39
6.23,0,3,1.03,64.6,64.1,5.82
7.42,0,2,1.01,95.2,83.6,10.85
8.65,1,3,0.64,72.4,55.0,6.12
6.32,1,3,1.13,72.9,81.6,6.07
8.1,0,2,1.02,68.5,86.1,10.04
6.86,1,2,1.03,84.7,61.4,9.21
6.55,0,3,0.98,76.1,69.6,6.91
7.37,1,3,1.13,97.8,47.6,6.94
6.26,2,3,1.17,99.4,48.0,6.55
6.84,1,3,1.1,74.7,69.8,3.59
6.06,2,2,1.26,69.4,56.9,8.07
9.86,4,2,0.86,72.5,68.6,10.48
7.54,1,2,0.88,61.5,67.5,5.46
6.66,1,3,1.08,72.0,74.8,4.9
7.76,2,1,1.13,48.4,72.9,15.89
7.37,2,3,1.1,59.3,78.8,6.53
7.23,1,3,0.74,81.8,68.4,6.77
8.24,1,3,0.76,78.1,69.6,7.87
8.41,2,2,0.96,68.1,65.0,9.67
6.86,2,3,0.64,76.3,80.7,6.02
6.81,2,2,1.05,92.6,92.6,10.58
7.17,0,1,0.99,64.2,76.2,14.89
5.0,1,2,0.82,48.5,72.5,6.35
5.68,2,3,0.89,79.4,61.7,2.5
9.14,3,1,1.02,78.0,68.6,17.03
9.47,1,3,0.7,81.4,59.1,8.13
7.2,2,1,0.88,52.0,55.8,14.26
8.19,0,2,0.95,47.5,62.1,5.35
7.87,1,1,0.94,74.0,91.8,14.73
10.0,3,3,0.95,72.9,63.7,6.09
8.84,0,3,1.27,64.6,89.4,7.78
7.35,2,3,1.19,91.7,50.4,8.31
6.35,1,3,0.87,69.9,67.1,5.31
5.57,3,3,0.79,88.5,75.8,7.32
7.74,0,3,0.92,83.2,76.6,4.79
6.59,2,3,1.25,53.7,48.8,5.52
5.79,1,3,0.57,56.7,46.8,2.5
6.72,0,2,1.02,50.8,74.3,7.95
6.2,1,3,0.94,76.5,56.7,6.32
9.52,2,3,1.24,71.5,74.5,10.28
8.56,2,3,1.2,90.3,86.5,9.54
7.49,1,3,0.71,78.9,55.2,5.34
9.28,0,2,1.24,50.5,57.2,8.13
7.59,0,3,0.53,63.1,34.6,5.33
6.47,1,2,1.12,38.3,77.0,5.31
9.33,3,3,1.14,74.4,97.0,10.11
8.15,1,3,1.34,100.0,46.3,7.59
6.26,0,3,1.05,72.0,83.7,6.21
7.27,0,1,0.87,73.0,85.0,13.85
6.45,2,1,0.8,69.7,76.8,16.03
5.84,0,1,1.29,75.3,55.9,11.52
8.61,1,2,1.34,67.7,61.3,12.06
9.79,4,3,0.91,79.3,73.3,9.39
5.82,2,3,1.0,58.4,72.8,6.37
8.18,0,3,1.27,59.0,61.2,4.23
6.72,2,3,1.15,50.6,71.9,6.05
6.92,2,2,0.96,69.5,59.6,7.25
6.79,4,1,0.85,53.4,63.3,17.28
6.46,1,1,0.83,91.8,62.0,13.75
7.56,1,3,1.19,63.5,81.4,6.73
6.5,0,3,0.93,40.5,43.6,2.5
7.82,1,3,0.92,53.0,74.7,4.63
7.44,0,2,1.12,72.0,70.4,4.33
7.21,4,2,1.02,79.8,31.0,11.69
6.41,1,3,1.08,75.3,78.1,6.58
6.81,0,1,0.94,57.7,79.9,10.68
8.41,2,3,0.93,61.4,58.9,3.8
8.1,2,2,0.85,59.7,72.3,8.84
6.33,0,1,1.14,78.5,69.0,13.75
7.62,3,3,1.02,71.7,98.5,8.75
8.4,1,2,1.06,63.3,72.5,11.19
5.5,0,3,0.8,60.1,66.6,2.5
8.15,2,3,1.14,62.2,81.4,7.89
6.7,0,3,1.06,70.1,89.1,6.82
8.18,2,3,1.15,90.1,96.1,10.54
6.58,1,3,1.07,72.8,56.0,6.81
5.33,1,2,1.06,65.0,71.4,7.71
5.55,0,3,0.64,63.8,55.7,3.96
7.56,1,3,1.23,95.5,99.8,8.56
7.81,2,1,0.74,82.4,65.7,13.78
6.41,1,3,1.21,84.7,79.4,7.51
8.27,4,3,0.99,81.2,62.5,8.73
5.51,0,3,0.68,69.3,72.5,3.15
7.42,3,3,0.98,88.0,37.9,8.14
6.05,3,2,0.7,48.0,80.6,9.29
6.72,1,3,1.22,93.3,84.5,6.78
7.56,2,2,0.9,81.1,56.1,10.01
6.47,1,2,0.79,77.3,37.9,7.43
7.04,0,3,1.13,58.6,87.2,5.75
8.71,0,3,0.99,84.0,85.3,9.19
6.81,1,2,1.1,87.2,76.9,10.29
8.5,1,3,0.98,59.4,62.2,6.5
6.14,0,3,1.23,59.9,60.8,2.72
8.14,2,3,0.92,54.5,85.0,5.94
9.23,1,3,0.68,78.2,60.2,7.8
5.0,0,3,0.78,68.5,67.4,2.5
6.54,0,2,1.09,100.0,64.9,8.32
8.19,0,2,0.87,47.0,69.9,5.92
7.26,4,3,1.26,56.9,63.4,7.57
7.95,2,2,0.77,70.2,65.1,9.18
6.78,3,3,1.2,80.0,91.9,9.3
7.6,1,3,0.91,79.3,72.9,7.52
7.31,2,3,1.26,71.3,70.7,8.71
8.9,3,2,1.1,75.3,77.3,13.26
7.81,3,2,1.04,71.8,48.2,9.47
7.91,0,2,1.13,85.7,80.3,8.59
7.01,0,3,1.25,61.7,69.5,3.78
6.91,3,2,0.99,63.4,55.7,8.75
6.98,0,3,0.62,80.3,63.6,3.83
7.97,2,1,1.24,93.6,73.0,18.0
6.99,2,3,0.95,60.5,66.3,7.71
7.85,2,2,1.5,73.6,81.3,8.61
9.99,3,3,0.88,64.3,53.7,8.24
8.55,1,2,0.92,78.3,48.1,11.26
7.11,3,2,1.15,45.4,53.6,6.15
8.94,0,3,1.15,64.8,58.9,7.79
7.01,0,2,1.08,61.4,67.0,5.95
5.05,3,3,0.89,64.9,60.0,5.08
6.29,0,3,0.77,31.9,47.2,3.09
5.26,1,3,0.86,100.0,44.7,6.52
7.08,1,3,0.7,32.6,45.8,3.21
7.52,1,2,1.41,77.1,60.7,7.82
9.51,3,2,0.8,50.6,52.8,7.9
7.89,1,2,0.94,51.3,59.2,7.51
7.24,2,1,1.14,72.1,84.9,15.93
8.5,0,2,1.0,80.4,47.5,6.99
5.0,2,2,0.88,53.9,69.5,7.03
7.78,1,3,0.97,53.4,47.2,5.14
8.43,0,3,0.88,50.6,45.0,5.69
5.73,1,1,0.95,73.2,70.6,14.32
8.87,2,2,1.08,54.3,75.1,9.46
